source,target
高美濃囲いの発展形で、銀の位置が通常と異なる美しい配置の囲いです。名前に「プラチナ」がつくだけあって、洗練されたバランスの良さが特徴です。,"An advanced High Mino Castle with a beautiful silver placement different from the usual shape. With platinum in the name, its refined balance is the defining feature."
美濃囲いから玉の頭の歩がない形で、ひねり飛車や角交換型の将棋で自然に現れます。歩がない分、玉頭が薄くなるため注意が必要です。「坊主」という名前は歩がない状態を指していますね。,"A Mino Castle shape without the pawn above the king, appearing naturally in Twisting Rook and Bishop Exchange games. Since the pawn is missing, the king's head is thin and needs care. The Bozu name refers to the pawnless state."
コンピュータ将棋ソフト「Bonanza」が好んで採用したことからこの名がつきました。手数を節約して攻めに回すという合理的な思想が表れています。人間の常識を覆した、AIならではの囲いと言えるでしょう。,Named because the computer shogi engine Bonanza liked to use it. It reflects a rational idea: save moves and use them for attack. It is an AI-born castle that overturned human common sense.
升田幸三先生にちなんだ左美濃の変形で、対矢倉で使われる形です。五筋からの突破を防ぎつつ、角のラインにも配慮した配置になっています。「新手一生」を掲げた升田先生らしい、工夫の詰まった囲いですね。,"A Left Mino variation named after Kozo Masuda, used against Yagura. It prevents a breakthrough on the fifth file while accounting for the bishop line. It is packed with Masuda-like ingenuity, fitting his motto of a lifetime of new moves."
居飛車穴熊の基本形から右銀を囲いに引き付けることで、短い手数でさらに堅くする工夫が施されています。効率の良さが光る、洗練された穴熊ですね。,"A refined Anaguma that pulls the right silver into the basic Static Rook Anaguma shape, making it firmer in few moves. Its efficiency stands out."
通常の矢倉囲いを右側に配置した形です。相振り飛車で使われることがあり、上部からの攻めに非常に強い特徴があります。,A shape that places the normal Yagura Castle on the right side. It can be used in Double Ranging Rook and is very strong against attacks from above.
振り飛車の代表的な囲いで、金銀三枚で玉を守る美しい形です。横からの攻めに強く、組み上がりも比較的速い。攻守のバランスに優れた、振り飛車党にとっての基本中の基本と言えるでしょう。,"The representative Ranging Rook castle, a beautiful shape protecting the king with three golds and silvers. It is strong against side attacks and builds fairly quickly. With excellent attack-defense balance, it is the fundamental castle for Ranging Rook players."
美濃囲いと穴熊の要素を組み合わせた囲いです。美濃の形を保ちつつ玉を端に寄せることで、両方の長所を取り入れています。,"A castle combining elements of Mino and Anaguma. It keeps the Mino shape while shifting the king to the edge, taking strengths from both."
藤井システム対策として2000年頃に編み出された囲いで、西暦にちなんで「ミレニアム」と名付けられました。玉を角道から外した位置に配置し弱点を解消しています。時代が生んだ知恵の結晶ですね。,"A castle devised around 2000 as an answer to the Fujii System, named Millennium after the era. It places the king away from the bishop diagonal and removes a key weakness. It is a crystallization of wisdom born from its time."
飛車の両脇を銀二枚で固め、金二枚で下を支える対称的な形です。名前とは裏腹に実戦的な堅さには課題があり、攻めも守りも中途半端になりがちです。,"A symmetrical shape that fixes two silvers beside the rook and supports them with two golds below. Despite the name, it has practical issues with solidity, and both attack and defense can become half-hearted."
矢倉の堅さと穴熊の深さを兼ね備えた囲いです。玉を端の最深部まで移動させるため、非常に遠い位置から戦えます。ただし、端攻めには細心の注意が必要です。,"A castle combining Yagura's solidity with Anaguma's depth. Because the king moves deep into the corner, it can fight from very far away. Edge attacks require great care."
左美濃に右銀を加え、金銀四枚で守る堅固な囲いです。天守閣美濃の弱点だった玉頭を銀で補強しており、バランスに優れています。ただし、四枚を守りに使う分、攻め駒は薄くなります。,"A sturdy castle that adds the right silver to Left Mino and defends with all four golds and silvers. The silver reinforces Keep Mino's king-head weakness and gives good balance, though using four pieces for defense thins the attack."
お互いに飛車の前の歩を交換し合う、居飛車同士のぶつかり合い!序盤から激しい展開になることが多くて、一手一手の精度がすごく大事な戦型だよ。,"A Static Rook battle where both sides exchange the pawns in front of their rooks. The game often becomes sharp from the opening, so the accuracy of every move matters."
相掛かりから棒銀で攻める、攻撃力抜群の作戦!飛車と銀の協力で相手の陣地をこじ開けにいくよ。,An attack plan that uses Climbing Silver from Double Wing Attack. The rook and silver work together to pry open the opponent's camp.
お互いに筋違い角を打ち合う珍しい力戦形。定跡がほとんどないから、構想力と読みの勝負になるよ。,"A rare fighting shape where both sides drop Wrong Diagonal Bishops. There is almost no established theory, so it becomes a contest of plans and reading."
お互いに飛車を振る戦型で、振り飛車同士のぶつかり合い!居飛車対振り飛車とは全然違う戦いになるから、また違った楽しさがあるよ。,"A battle where both players use Ranging Rook. It feels completely different from Static Rook versus Ranging Rook, giving it another kind of enjoyment."
お互いに横の歩を取り合う超激しい戦法。序盤からいきなり大乱戦になるから、度胸と読みの深さが試されるよ!,"An extremely sharp strategy where both sides take the side pawns. The opening can explode into chaos immediately, testing courage and deep reading."
青野照市先生が体系化した横歩取りの超攻撃型戦法!飛車を引かないで桂馬をどんどん跳ねて攻めまくる。プロ間では詰みまで研究されるほどの破壊力なんだって。,"A highly aggressive Side Pawn Picker system organized by Teruichi Aono. Instead of pulling the rook back, it jumps the knights and attacks relentlessly. Its destructive power is so great that professional lines have been studied all the way to mate."
阿久津主税先生が考案した急戦策で、角を中央に据えて矢倉を睨みながら攻めていく。現代的なスピード感のある指し方だね。,"A quick-attack plan devised by Chikara Akutsu. It places the bishop in the center, pressures Yagura, and attacks with modern speed."
佐藤天彦先生が居飛車党から転身して連採した向かい飛車。序盤から独自の形に誘導するのが特徴で、佐藤先生の美意識が感じられる戦法だね。,An Opposing Rook adopted repeatedly by Amahiko Sato after moving away from Static Rook. It steers the opening into original shapes and shows Sato's sense of aesthetics.
佐藤天彦先生が3手目にいきなり角を上がる斬新な出だし。序盤から独自の世界に引き込むのが特徴で、トップ棋士にも勝っているよ。,"A fresh opening where Amahiko Sato raises the bishop on move three. It pulls the game into an original world from the start, and has even beaten top professionals."
将棋YouTuberの「アユム」さんが使ったことで知られるオリジナル戦法。動画で見たことある人も多いかも!,An original strategy known because shogi YouTuber Ayumu used it. Many people may have seen it in videos.
飯島栄治先生が対振り飛車用の引き角戦法を相掛かりに応用した戦法。角道を開けないで引き角で戦うっていう発想を相居飛車に持ち込んだんだ。,A strategy where Eiji Iijima adapted his anti-Ranging Rook Pullback Bishop system to Double Wing Attack. It brings the idea of fighting with a pulled-back bishop without opening the bishop diagonal into Static Rook versus Static Rook.
飯島栄治先生が考案した、角道を開けないまま角を引いて使う対振り飛車の戦法。振り飛車側の角の睨みを消せるのが優秀で、升田幸三賞を受賞したよ。,A strategy devised by Eiji Iijima that uses the bishop by pulling it back without opening the bishop diagonal. It is excellent at neutralizing the Ranging Rook side's bishop pressure and won the Masuda Award.
角をそのままの位置に残して左美濃に囲い、そこから急戦を仕掛ける現代的な作戦。角が自然に相手陣を睨んでいるのがポイントだよ。,"A modern plan that leaves the bishop on its original square, builds Left Mino, then launches a quick attack. The key is that the bishop naturally points into the opponent's camp."
江戸時代の盲目の棋士、石田検校が考えたって言われてる三間飛車の代名詞!飛車を浮かせて飛角桂の理想形を目指すんだ。,"The signature Third File Rook, said to have been created by the blind Edo-period player Ishida Kengyo. It floats the rook and aims for the ideal rook-bishop-knight formation."
角交換を避けて、飛車・角・桂をじっくり理想の配置に組み上げる石田流の完成形。全部揃ったら一気に攻めるんだ!,"The complete Ishida Style formation, avoiding bishop exchange while patiently placing rook, bishop, and knight ideally. Once everything is ready, it attacks all at once."
飛車を一番端の筋に持っていく、珍しい振り飛車。端から攻めつつ、状況に応じて飛車を別の筋に移動できる柔軟さが魅力だよ。,"A rare Ranging Rook that moves the rook to the far edge file. Its appeal is flexibility: attack from the edge, then move the rook to another file if the position demands."
わざと一手損して自分から角を交換する、ちょっと不思議な戦法。損しているように見えるんだけど、十分有力な戦法だよ!,"A slightly mysterious strategy that deliberately loses one move to exchange bishops yourself. It looks like a loss, but remains fully viable."
糸谷哲郎先生の右玉で、対振り飛車の将棋で玉を右に構える柔軟な作戦。糸谷先生らしい独創的な発想の戦法だよ。,"Tetsuro Itodani's Right King, a flexible anti-Ranging Rook plan that places the king on the right. It is an original idea typical of Itodani."
自陣の歩を一切突かずに全ての場所を守り駒で固める、超守備的なコンピュータ対策の戦法。打開するのがすっごく大変で、コンピュータが苦手とする手詰まりに持ち込むんだ。,"An ultra-defensive anti-computer strategy that does not push any pawns and covers every square with defending pieces. Breaking through is very hard, and it aims for a locked position that computers dislike."
振り飛車っぽい出だしから、実は矢倉に組んじゃう戦法。普通の矢倉と手順が違うから「ウソ」って名前がついたんだって。,"A strategy that starts like Ranging Rook but actually builds Yagura. It got the Uso, or fake, name because the move order differs from normal Yagura."
アマチュアの嬉野宏明さんが考えた、銀をいきなり上がる意表の出だしの戦法。プロの定跡を覚えなくても自分のペースで戦えるのが魅力だよ。,"A surprise opening devised by amateur Hiroaki Ureshino, raising the silver immediately. Its appeal is that you can fight at your own pace without memorizing professional theory."
山口英夫先生(愛称「英ちゃん」)が考えた、中央の歩をあえて突かない中飛車。「後回しにできる手は後回しにする」っていう、今の時代にも通じる考え方の先駆けだったんだって。,"A Central Rook by Hideo Yamaguchi, nicknamed Ei-chan, that deliberately does not push the central pawn. Its idea that moves which can wait should wait was ahead of its time."
コンピュータ将棋ソフト「elmo」が対振り飛車で多用したことから名前がついた急戦策。ソフト発祥の戦法で、elmo囲いが升田幸三賞を受賞したんだよ!シンプルな囲いなのにすごく堅くて、四間飛車にも三間飛車にも使えるのが革命的なんだ。,"A quick-attack plan named because the computer shogi engine elmo used it often against Ranging Rook. This software-born system helped elmo Castle win the Masuda Award. The simple castle is surprisingly solid, and its use against both Fourth File and Third File Rook was revolutionary."
桂馬をいきなりポンと高く跳ねて奇襲する戦法!「この戦法を使えば鬼も倒せる」っていう売り文句で大正時代に広まったんだって。縁台将棋で大流行した、みんな大好きな奇襲戦法!,A surprise strategy that jumps the knight high right away. It spread in the Taisho era with the slogan that it could defeat even demons. It became hugely popular in casual bench shogi.
島朗先生が考案した、角道を止めずに向かい飛車に振る戦法。鬼殺し系の中で唯一、相手が正しく指しても不利にならないって言われてるんだって。,"A strategy devised by Akira Shima that swings to Opposing Rook without closing the bishop diagonal. Among Demon Killer systems, it is said to be the only one that does not become worse even if the opponent responds correctly."
お互いに角を交換してから戦う居飛車の基本戦型!持ち駒の角をどこに打つかが勝負の分かれ目で、一手のミスが命取りになるスリリングな将棋になるよ。,"A basic Static Rook opening where both sides exchange bishops before fighting. Where to drop the bishop in hand often decides the game, making it thrilling because one mistake can be fatal."
角換わりから銀を真ん中あたりに構えて戦う、居飛車の王道戦法!銀の位置がちょうど「腰掛けている」みたいに見えるからこの名前なんだって。,"A classic Static Rook strategy from Bishop Exchange, placing the silver around the center. The silver looks as if it is sitting down, which is where the name Reclining Silver comes from."
角換わりから棒銀で一直線に攻めていくシンプルで力強い戦法!角交換で手に入れた角をどこに打つかがポイントだよ。,A simple and powerful strategy that attacks straight ahead with Climbing Silver from Bishop Exchange. The key is where to drop the bishop gained from the exchange.
角換わりの将棋で玉を右に構えて、相手の攻めを柔らかく受け流す戦法。カウンター狙いの大人な指し方だよ。,A Bishop Exchange strategy that places the king on the right and softly parries the opponent's attack. It is a mature counterattacking style.
角を交換してから飛車を振る戦法。持ち駒の角をどこに打つかの駆け引きが楽しくて、自由度が高い指し方だよ。,A strategy that exchanges bishops and then swings the rook. The freedom and mind games over where to drop the bishop in hand are what make it fun.
普通は弱点とされる角の頭の歩をあえて突く大胆な戦法!坂田三吉さんが指して「古今第一の奇手」と称されたんだって。,"A bold strategy that pushes the pawn above the bishop, normally considered a weakness. Sankichi Sakata played it, and it was praised as the greatest strange move of all time."
角道を開けたまま四間飛車に構える現代的な指し方。普通は角道を閉じるんだけど、開けておくことで攻めの可能性が広がるよ。,"A modern way to play Fourth File Rook while leaving the bishop diagonal open. Normally the diagonal is closed, but keeping it open expands attacking possibilities."
伊藤果先生が考案した、飛車を下段で左右にクルクル回して相手の攻めを受け流す超持久戦の戦法。「戦わない、攻めない」っていう精神がとってもユニークだよね。,"An ultra-long-game strategy devised by Hatasu Ito, rotating the rook left and right along the lower rank to parry the opponent's attacks. Its spirit of not fighting and not attacking is truly unique."
加藤一二三先生の袖飛車で、対ツノ銀中飛車の急戦策。「ひふみん」こと加藤先生らしい、力強い攻めが魅力の戦法だよ。,"Hifumi Kato's Sleeve Rook, a quick attack against Horned Silver Central Rook. It has the powerful attacking flavor typical of Hifumin."
三間飛車の対穴熊戦法、略してカナシス!銀を前線に繰り出して数の攻めで穴熊に対抗するんだ。,"A Third File Rook anti-Anaguma strategy, abbreviated Kanashisu. It sends the silver to the front and fights Anaguma with a numerical attack."
金沢孝史先生が王位戦予選で披露した、3手目に角を上がる奇襲的な力戦誘導型の戦法。天彦流の先行形とも言えるね。,"A surprise fighting strategy shown by Takashi Kanazawa in an Oi qualifier, raising the bishop on move three. It can be seen as a predecessor to the Amahiko Style."
カニカニ銀で有名な児玉孝一先生の後手番向けの戦法!今度は銀じゃなくて金を攻めに使う超攻撃的な構想なんだ。,"A strategy for White by Koichi Kodama, famous for Crab-Crab Silver. This time it uses a gold rather than a silver for attack, creating an extremely aggressive plan."
児玉孝一先生が考案した、2枚の銀をカニのハサミみたいに中央に出して総攻撃する超攻撃型戦法!居玉のまま全力で攻めるから、攻めが決まったときの爽快感がたまらないよ!,"An all-out attacking strategy devised by Koichi Kodama that sends two silvers into the center like crab claws. Since it attacks at full power while the king stays uncastled, landing the attack feels excellent."
元奨励会三段の鈴木英春さんが考案した総合戦法で、19手で基本の形が完成するから「必殺19手定跡」って呼ばれてるんだって。この戦法でアマ王将を連覇したすごい戦法!,"A comprehensive strategy devised by former Shoreikai 3-dan Eishun Suzuki. Its basic form is completed in 19 moves, hence the nickname Deadly 19-Move Joseki. It is a remarkable strategy that helped him win the Amateur Osho repeatedly."
鈴木英春さんが考案した、相手の出方を見てから変幻自在に対応する総合戦法。カメレオンみたいにコロコロ姿を変えるから、相手は何をされるかわからなくて困っちゃうんだ!,"A comprehensive strategy devised by Eishun Suzuki that responds freely after seeing the opponent's setup. Like a chameleon changing form, it leaves the opponent unsure what is coming."
先手石田流への対策として開発された戦法で、相振り飛車筋違い角の形になるんだ。ちょっと変わった名前の戦法だね。,"A strategy developed as an answer to Black's Ishida Style, leading to a Double Ranging Rook Wrong Diagonal Bishop shape. It has a rather unusual name."
角を積極的に活用する攻撃的な戦法体系。旧型から新型までいろんなバリエーションがあって、研究がとっても深いんだ。,"An aggressive strategic system that actively uses the bishop. It has many variations from old to new forms, and the research runs deep."
読みは「きもきもきん」!守りの金をどんどん前に繰り出していく、見た目がちょっと変わった対石田流の戦法。ニコニコ生放送から生まれたんだって。名前の通り、金の動きがたしかに独特だよ......あれれ......?,"Read as Kimokimo-Kin. This anti-Ishida Style strategy keeps advancing defensive golds to the front, producing a rather strange-looking shape. It came from Niconico Live. True to the name, the gold movement is certainly unusual... wait, what?"
初代実力制名人の木村義雄先生が完成させた、角換わり腰掛け銀の伝説的な定跡。なんと先手の勝ちまで読み切られた「完成された定跡」で、手筋の宝庫って言われてるよ!,"A legendary Bishop Exchange Reclining Silver joseki completed by first Real-Strength Meijin Yoshio Kimura. It was analyzed as a completed joseki all the way to a win for Black, and is known as a treasure house of tactics."
飛車を9筋に振る、とっても珍しい戦法。一間飛車の反対側だね。駒の働きが悪くなりやすいから使いどころが難しいけど、意表を突けるのは間違いないよ!,"A very rare strategy that swings the rook to the ninth file, the opposite side from First File Rook. The pieces can become inefficient, so timing is difficult, but it definitely surprises the opponent."
玉の頭の方面に銀を繰り出して攻める戦法。普通は守る場所を攻めの起点にしちゃう、ちょっと大胆な作戦だね。,"A strategy that sends a silver toward the opponent king's head. It turns the area one normally defends into the starting point of attack, making it a rather bold plan."
玉の頭の方面で歩を5段目まで進めて位を取る戦法。制圧力は高いけど、位を維持するのが大変で、ちょっと上級者向けかも。,"A strategy that advances a pawn to the fifth rank near the king's head to take a vanguard position. Its suppressive power is high, but maintaining the vanguard is difficult, so it may be for advanced players."
相掛かりで銀を前に繰り出す戦法で、飛車を鎌、銀を分銅に見立てた加藤治郎先生のネーミングがかっこいいよね。「猪突銀戦法」って別名もあるんだって。,"A Double Wing Attack strategy that sends the silver forward. Jiro Kato's naming, comparing the rook to a sickle and the silver to a weight, is stylish. It is also called Boar-Rushing Silver."
アマ強豪の楠本誠二さんが考えた穴熊退治の専用プランで、角で飛車のコビンを狙いつつ鉄壁の守りを築く。穴熊に負けず劣らず手数がかかるから、根気が大事だね。,"A dedicated Anaguma-killing plan devised by strong amateur Seiji Kusumoto. It uses the bishop to aim at the rook's diagonal weak point while building an iron defense. It takes as many moves as Anaguma, so patience is essential."
飛車を中央に持っていって、とにかく中央突破を目指すシンプルな中飛車!細かいことは考えずにまっすぐ攻めるから、将棋を始めたばかりの人にもおすすめだよ。,"A simple Central Rook that moves the rook to the center and aims straight for a central breakthrough. Since it attacks directly without worrying about details, it is recommended even for new shogi players."
将棋の攻めの基本中の基本!銀をまっすぐ前に進めて、飛車と協力して相手の陣地を突破する。将棋を覚えたら最初にやってみてほしい戦法だよ!,One of the fundamentals of shogi attack. The silver advances straight ahead and works with the rook to break through the opponent's camp. It is a strategy everyone should try after learning shogi.
YouTuberの「こいなぎ」さんが体系化した中飛車対策の右玉。普通の右玉とは金と銀の配置が逆で、受けてからの反撃を基本にしているよ。,"A Right King system against Central Rook organized by YouTuber Koinagi. Unlike normal Right King, the gold and silver placement is reversed, and the plan is to defend first and counterattack."
腰掛け銀の金バージョンで、銀の代わりに金を中央に進出させる攻撃的な構想。守りが薄くなるけど、その分攻めに厚みが出るよ。,"The gold version of Reclining Silver, advancing a gold into the center instead of a silver. The defense becomes thinner, but the attack gains thickness."
銀を中段に構えて攻守のバランスを取る戦法。腰掛け銀の形は攻めにも守りにも柔軟に対応できて、プロの対局でもとっても多い形だよ。,"A strategy that places the silver in the middle ranks for attack-defense balance. Reclining Silver can flexibly handle both attack and defense, and appears very often in professional games."
近藤正和先生が考案した、角道を開けたまま飛車を中央に持っていく中飛車!「ご機嫌」って名前が楽しいよね。攻守のバランスがよくて、プロでもアマでも大人気の戦法!,"A Central Rook devised by Masakazu Kondo that moves the rook to the center while keeping the bishop diagonal open. The Cheerful name is fun, and its good attack-defense balance makes it popular with professionals and amateurs alike."
中央の歩を5段目まで進めて「位」を取る戦法。中央をどっしり占拠して、相手の動きを制約するのが狙いだよ。,A strategy that advances the central pawn to the fifth rank to take a vanguard. The aim is to occupy the center firmly and restrict the opponent's movement.
相掛かりの序盤5手目で歩をいきなり突いちゃう奇襲で、まるで爆弾の導火線に火をつけるような一手。相手が受け間違えると大変なことになるよ!,"A surprise in Double Wing Attack that suddenly pushes a pawn on Black's fifth opening move, like lighting a bomb fuse. If the opponent responds incorrectly, things can become serious."
ゴキゲン中飛車に対して金を早めに上がって超急戦を挑む居飛車の作戦。金の力で中飛車の中央突破を真正面から押さえ込むんだ。,A Static Rook plan against Cheerful Central Rook that raises the gold early and launches an ultra-quick attack. The gold's strength directly suppresses Central Rook's central breakthrough.
守りの金を前線にグイグイ出して力ずくで攻める戦法。名前の通りゴリゴリ押していく!知らないとちょっと面食らうかも。,"A strategy that drives a defensive gold to the front and attacks by force. As the name suggests, it pushes hard. If you do not know it, it can be startling."
坂田三吉さんが1937年の「南禅寺の決戦」で木村義雄先生に対して指した伝説の一手。当時は悪手扱いだったけど、今のプロは「とがめるのは難しい」って言ってるんだって。,"The legendary move Sankichi Sakata played against Yoshio Kimura in the 1937 Battle of Nanzenji. It was considered a bad move at the time, but modern professionals say it is difficult to refute."
坂田三吉さんが1919年に指した一局がきっかけで名前がついたんだけど、実は元の定跡は江戸時代からあったんだって。角交換から自然に向かい飛車に組める手順が魅力だよ。,"Named after a game Sankichi Sakata played in 1919, though the original joseki actually existed since the Edo period. Its appeal is a natural route from bishop exchange into Opposing Rook."
青野照市先生が考案して米長邦雄先生がタイトル戦で愛用した対四間飛車の急戦策。二人とも東京の鷺宮に住んでいたから「鷺宮定跡」って名前になったんだ。ご近所定跡だね!,"A quick-attack plan against Fourth File Rook devised by Teruichi Aono and used by Kunio Yonenaga in title matches. Both lived in Saginomiya, Tokyo, which is how the Saginomiya Joseki got its name."
角交換四間飛車の一種で、「宗歩四間飛車」とも呼ばれるよ。江戸時代の天才棋士・天野宗歩に由来するって言われてるんだけど、宗歩がこの形を指した棋譜は1局しかないんだって。,"A type of Bishop Exchange Fourth File Rook, also called Soho Fourth File Rook. It is said to derive from Edo-period genius Amano Soho, though there is only one surviving record of him playing this shape."
飛車を3筋に振る振り飛車の基本形で、角道を活かした攻めと美濃囲いの相性がすごくよくて、初心者からプロまでみんなに愛されてるよ!,"The basic Third File Rook form, swinging the rook to the third file. Its bishop-line attacks and compatibility with Mino Castle are excellent, so it is loved by everyone from beginners to professionals."
内藤國雄先生が生み出した横歩取りの戦法で、「内藤流」とも呼ばれるよ。後手が角を上がることで先手の飛車を追い回して、主導権を握るのが狙い!,"A Side Pawn Picker strategy created by Kunio Naito, also called Naito Style. White raises the bishop to chase Black's rook and seize the initiative."
横歩取りで桂馬をポンと跳ねる戦法。最初は奇襲扱いだったんだけど、屋敷伸之先生が棋聖戦で使って注目を集めたんだ。,"A Side Pawn Picker strategy that jumps the knight. It was first treated as a surprise, but Nobuyuki Yashiki brought attention to it by using it in a Kisei match."
矢倉の攻め方のひとつで、銀を前線に繰り出して相手の矢倉をじわじわ攻めていく戦法だよ。地味に見えるけど、プロでもよく使われる堅実な作戦!,"One way to attack Yagura, sending the silver forward and gradually pressuring the opponent's castle. It looks plain, but it is a solid plan often used by professionals."
今泉健司先生が奨励会三段のときに考案した、2手目にいきなり三間に振る戦法。奨励会員として初めて升田幸三賞を受賞したんだって!久保先生や羽生先生も使ったことがあるよ。,"A strategy Kenji Imaizumi devised as a Shoreikai 3-dan, swinging to Third File Rook on White's second move. It was the first Masuda Award won by a Shoreikai member, and has been used by Kubo and Habu."
石田流三間飛車を封じる戦法で、筋違い角から棒銀で一気に攻め潰すのが狙いだよ。,"A strategy for shutting down Ishida-style Third File Rook, aiming to crush it at once with Wrong Diagonal Bishop into Climbing Silver."
飛車を4筋に振る、振り飛車の王道中の王道!美濃囲いとの相性がバツグンで、「迷ったら四間飛車」って言われるくらいみんなに愛されている戦法だよ。,"The royal road of Ranging Rook, swinging the rook to the fourth file. Its compatibility with Mino Castle is excellent, and it is so beloved that people say to play Fourth File Rook when in doubt."
角を4手かけて好位置に転換する手順のこと。じっくり時間をかけて角を理想のポジションに持っていく、丁寧な指し方だよ。,A maneuver that spends four moves transferring the bishop to a good square. It is a careful way to take time and place the bishop in an ideal position.
対振り飛車の万能戦法で向かい飛車にして振り飛車に対抗するっていう、ユニークな対振り飛車戦法。ネット将棋から広まった新しい作戦だよ! ,A unique all-purpose anti-Ranging Rook strategy that answers Ranging Rook by using Opposing Rook. It is a newer plan that spread through online shogi.
14世名人の木村義雄先生に「必勝法がある」って切り捨てられた手順を、鈴木大介先生が新しい手を見つけて復活させた石田流の進化形。2005年に升田幸三賞を受賞してるよ!,An evolved Ishida Style revived when Daisuke Suzuki found a new move in a line Yoshio Kimura had dismissed as having a forced win against it. It won the Masuda Award in 2005.
アマチュアの嬉野宏明さんの嬉野流の進化版。嬉野流は升田幸三賞を受賞していて、新嬉野流は中央の歩を突いてから銀を出すのが新しいポイントで、元の嬉野流より柔軟になったんだ。,"An evolution of amateur Hiroaki Ureshino's Ureshino Style. Ureshino Style won the Masuda Award, and New Ureshino Style is more flexible than the original because it pushes the central pawn before bringing out the silver."
米長邦雄先生が鬼殺しを改良した戦法。普通の鬼殺しと違って、奇襲が失敗しても普通に戦い続けられるのがうれしいポイントだよ。,"Kunio Yonenaga's improvement to Demon Killer. Unlike normal Demon Killer, it can continue as a normal game even if the surprise fails, which is a welcome point."
現代に蘇った雁木の新しい形。AIの影響で再評価されて、金銀のバランスの良い配置からじっくり戦える戦法として見直されているよ。,A new form of Snowroof revived in the modern era. It was reevaluated under AI influence as a strategy that can fight slowly from a well-balanced gold and silver setup.
米長邦雄先生が2012年の第1回将棋電王戦でコンピュータ将棋ソフトとの対局で指した作戦。2手目に玉をいきなり動かしてコンピュータのデータベースを無効化するっていう、まさに人間ならではの知恵だよね!,"A plan Kunio Yonenaga used against a computer shogi engine in the first Denosen match in 2012. Moving the king on move two disabled the computer's database, a very human piece of wisdom."
ゴキゲン中飛車の手順を先に入れてから三間に振ることで、相手のいやな角打ちをあらかじめ封じているのがポイントだよ。,"The key is to insert the Cheerful Central Rook move order first and then swing to Third File Rook, preventing unpleasant bishop drops in advance."
菅井竜也先生がゴキゲン中飛車の出だしからスッと飛車を三間に振り直す角交換型の三間飛車!手が滑ったみたいな振り直しから「うっかり三間」なんて呼ばれてるんだって、えへへ。2017年の王位戦で羽生善治先生を倒した一局が有名だよ!,An exchange-bishop Third File Rook where Tatsuya Sugai starts with the Cheerful Central Rook move order and then casually re-swings to the third file. The slipped-hand-like re-swing gave it the nickname Accidental Third File. Its famous example is Sugai's 2017 Oi match win over Yoshiharu Habu.
角を普通とは違う斜めのラインに打つ戦法。一歩得できるのがうれしいけど、角の働きが悪くなりやすいから使いこなすのが大変なんだ。,"A strategy that drops the bishop on an unusual diagonal. Winning a pawn is nice, but the bishop can become hard to use, so mastering it is difficult."
阪田流向かい飛車の出だしから筋違い角を打つ奇襲戦法。指導棋士の木屋太二先生が考案して、一歩得から向かい飛車に展開する攻撃的な作戦だよ。,"A surprise strategy that drops a Wrong Diagonal Bishop from the Sakata-Style Opposing Rook opening. Instruction professional Taiji Kiya devised this aggressive plan, gaining a pawn and developing into Opposing Rook."
飛車と香車を端にそろえて、端から一点突破を狙う戦法!角が斜めに1三を狙う形が、雀を捕らえるときに槍を構える「鳥刺し」に似ていることが名前の由来なんだって。,"A strategy that lines up rook and lance on the edge and aims for a single-point breakthrough. Its name comes from the bishop aiming diagonally at 1三, resembling a hunter setting a spear to catch a sparrow."
角換わりから右玉に構えて、銀二枚を柔軟に使いながらカウンターを狙う戦法だよ。普通の右玉よりも銀の配置に工夫があって、攻守のバランスがすごくいいんだ!,"A Bishop Exchange strategy that builds Right King and uses both silvers flexibly to counterattack. Compared with normal Right King, the silver placement is more refined and the attack-defense balance is excellent."
先手番で中央の歩を突いて中飛車に構える戦法。先手の一手の利を活かして、積極的に主導権を握りにいく攻撃的な指し方だよ。,A strategy for Black that pushes the central pawn and builds Central Rook. It uses Black's first-move advantage to seize the initiative aggressively.
飛車を端のほうに持っていく戦法。「袖」っていうのは端のことで、普段あまり使われない端の飛車が意外な攻撃力を発揮するよ。,"A strategy that moves the rook toward the edge. Sleeve means the side, and this rarely used side rook can show surprising attacking power."
対振り飛車で急がずにじっくり構える作戦の総称。穴熊や銀冠に組んでから戦うから、ゆっくり考えたい人におすすめだよ。,"A general term for anti-Ranging Rook plans that build slowly instead of rushing. Since you fight after making Anaguma or Silver Crown, it suits players who want to think at a slower pace."
高田尚平先生が考えた、対振り飛車で飛車がいる左側に玉を囲う戦法。普通は飛車と反対側に囲うから発想が逆なんだけど、懐が広くて逃げ道豊富な形になるんだ。,"A strategy devised by Shohei Takada that castles the king on the rook's left side against Ranging Rook. Normally the king castles away from the rook, so the idea is reversed, but the shape has depth and many escape routes."
アマ強豪の柿沼昭治さんが考案して、女流棋士の竹部さゆりさんが実戦で連採したことで名前がついた戦法。横歩取りでいきなり飛車を切っちゃう、びっくりする奇襲だよ!,A strategy devised by strong amateur Shoji Kakinuma and named after women's professional Sayuri Takebe used it repeatedly in real games. It is a surprising Side Pawn Picker tactic that sacrifices the rook immediately.
アマ強豪の立石勝己さんが考案した四間飛車で、途中で飛車を石田流の位置に転換させるのがポイント。アマチュア発祥でプロにも使われた珍しい戦法で、升田幸三賞特別賞をもらったんだよ!,A Fourth File Rook devised by strong amateur Katsumi Tateishi that later converts the rook to an Ishida Style square. It is a rare amateur-born strategy used by professionals and received a Masuda Award special prize.
